gen 0	best -393.991	worst -863.871
gen 1	best -195.466	worst -656.275
gen 2	best -460.779	worst -1130.93
gen 3	best -268.09	worst -862.377
gen 4	best -334.53	worst -789.227
gen 5	best -80.9196	worst -723.994
gen 6	best -182.781	worst -934.474
gen 7	best -72.2704	worst -694.539
gen 8	best -119.565	worst -725.189
gen 9	best -168.718	worst -674.698
gen 10	best -332.085	worst -961.127
gen 11	best -53.6671	worst -911.718
gen 12	best -115.073	worst -1066.14
gen 13	best -48.185	worst -905.36
gen 14	best -259.969	worst -692.304
gen 15	best -228.367	worst -700.591
gen 16	best -387.517	worst -820.797
gen 17	best -507.314	worst -767.768
gen 18	best -285.962	worst -1131.62
gen 19	best -513.885	worst -1152.63
gen 20	best -247.873	worst -826.366
gen 21	best -566.061	worst -1102.39
gen 22	best -208.981	worst -781.964
gen 23	best -88.5559	worst -620.489
gen 24	best -208.425	worst -540.371
gen 25	best -125.736	worst -676.977
gen 26	best -170.076	worst -772.587
gen 27	best -121.042	worst -798.408
gen 28	best -114.031	worst -870.791
gen 29	best -104.126	worst -677.678
gen 30	best -219.364	worst -734.607
gen 31	best -184.662	worst -782.812
gen 32	best -125.03	worst -783.801
gen 33	best -89.1281	worst -895.642
gen 34	best -126.159	worst -755.944
gen 35	best -91.7611	worst -845.51
gen 36	best -98.7331	worst -905.004
gen 37	best -212.176	worst -770.399
gen 38	best -72.5315	worst -944.008
gen 39	best -90.3471	worst -829.185
gen 40	best -195.257	worst -814.998
gen 41	best -334.865	worst -849.18
gen 42	best -79.6589	worst -744.935
gen 43	best -123.657	worst -629.33
gen 44	best -214.375	worst -994.72
gen 45	best -212.886	worst -836.426
gen 46	best -71.702	worst -548.525
gen 47	best -167.897	worst -633.539
gen 48	best -62.5945	worst -514.36
gen 49	best -67.8188	worst -709.248
gen 50	best -126.246	worst -959.763
gen 51	best -281.523	worst -777.132
gen 52	best -620.567	worst -1052
gen 53	best -146.428	worst -1007.96
gen 54	best -167.101	worst -748.632
gen 55	best -130.933	worst -913.041
gen 56	best -129.169	worst -931.29
gen 57	best -174.326	worst -585.898
gen 58	best -243.231	worst -950.218
gen 59	best -164.353	worst -460.92
gen 60	best -173.147	worst -579.447
gen 61	best -107.094	worst -803.991
gen 62	best -490.226	worst -963.242
gen 63	best -200.177	worst -680.016
gen 64	best -181.971	worst -780.736
gen 65	best -111.638	worst -879.831
gen 66	best -83.1597	worst -539.316
gen 67	best -132.916	worst -772.112
gen 68	best -77.5386	worst -639.453
gen 69	best -518.272	worst -1033.35
gen 70	best -278.568	worst -913.798
